postal_code	city	voivodeship	voivodeship_teryt	county	county_teryt	commune	commune_teryt	latitude	longitude	accuracy
59-700	Rakowice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2447	15.5347	6
59-700	Golnice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3504	15.5852	6
59-700	Chościszowice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2868	15.5891	6
59-700	Bolesławiec	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020101	51.2628	15.5599	6
59-700	Nowa Wieś	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3299	15.6101	6
59-700	Pstrąże	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.4396	15.5568	6
59-700	Otok	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2354	15.5259	6
59-700	Stara Oleszna	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.4155	15.5994	6
59-700	Dobra	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2773	15.5172	6
59-700	Lipiany	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3415	15.6345	6
59-700	Krępnica	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3224	15.5596	6
59-700	Żeliszów	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.1917	15.6354	6
59-700	Parkoszów	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3753	15.5811	6
59-700	Mierzwin	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2277	15.4818	6
59-700	Bożejowice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2425	15.5512	6
59-700	Kraśnik Górny	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2913	15.6348	6
59-700	Kraszowice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2112	15.5251	6
59-700	Trzebień	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3859	15.602	6
59-700	Bolesławice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2798	15.5485	6
59-700	Łąka	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2989	15.5702	6
59-700	Nowa	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.194	15.5242	6
59-700	Kraśnik Dolny	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3069	15.608	6
59-700	Nowe Jaroszowice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2154	15.5682	6
59-700	Trzebień Mały	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3972	15.577	6
59-700	Stare Jaroszowice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2098	15.6173	6
59-700	Suszki	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.1954	15.5729	6
59-700	Kruszyn	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2606	15.6152	6
59-700	Kozłów	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.4327	15.5989	6
59-700	Dąbrowa Bolesławiecka	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.3264	15.5772	6
59-700	Ocice	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2041	15.4839	6
59-700	Łaziska	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2417	15.6075	6
59-700	Brzeźnik	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020102	51.2441	15.4685	6
59-701	Bolesławiec	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020101	51.2551	15.5767	6
59-702	Bolesławiec	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020101	51.2515	15.5775	6
59-703	Bolesławiec	dolnośląskie	02	powiat bolesławiecki	0201	Bolesławiec	020101	51.2637	15.5619	6
59-706	Nowa Kuźnia	dolnośląskie	02	powiat bolesławiecki	0201	Gromadka	020103	51.3915	15.8179	6
59-706	Gromadka	dolnośląskie	02	powiat bolesławiecki	0201	Gromadka	020103	51.3583	15.7606	6
59-706	Osła	dolnośląskie	02	powiat bolesławiecki	0201	Gromadka	020103	51.3202	15.7538	6
59-706	Pasternik	dolnośląskie	02	powiat bolesławiecki	0201	Gromadka	020103	51.4063	15.8037	6
59-706	Motyle	dolnośląskie	02	powiat bolesławiecki	0201	Gromadka	020103	51.3992	15.7927	6
